Entity,Code,Year,Prevalence
Kenya,KEN,1990,34527.43496
Kenya,KEN,1991,35984.94504
Kenya,KEN,1992,37624.73622
Kenya,KEN,1993,39305.55737
Kenya,KEN,1994,41063.70775
Kenya,KEN,1995,42823.64501
Kenya,KEN,1996,44435.08578
Kenya,KEN,1997,46061.64694
Kenya,KEN,1998,47638.68329
Kenya,KEN,1999,48944.33706
Kenya,KEN,2000,50710.16868
Kenya,KEN,2001,51831.43194
Kenya,KEN,2002,54043.60856
Kenya,KEN,2003,56507.947
Kenya,KEN,2004,58607.88445
Kenya,KEN,2005,60903.79337
Kenya,KEN,2006,63641.31285
Kenya,KEN,2007,66212.04044
Kenya,KEN,2008,69104.74389
Kenya,KEN,2009,72463.651
Kenya,KEN,2010,76878.12713
Kenya,KEN,2011,79814.78307
Kenya,KEN,2012,82399.83896
Kenya,KEN,2013,85402.26507
Kenya,KEN,2014,88385.98146
Kenya,KEN,2015,91654.38403
Kenya,KEN,2016,95419.28709
Kenya,KEN,2017,99645.54098
